name,calories,protein_g,carbs_g,fat_g,fiber_g,sodium_mg,gi,tags,diet_types,meal_types,cuisines,allergens
Oats porridge (water) | portion_x0.6,108,3.6,18.0,1.8,3.0,72,low,"low_gi,high_fiber,whole_grain,low_sodium","veg,vegan",breakfast,global,may_contain_gluten
Millet roti (2) | portion_x1.1,231,6.6,44.0,3.3,5.5,132,low,"gluten_free,low_gi,high_fiber","veg,vegan","lunch,dinner",indian,
Grilled chicken breast (120g) | portion_x1.1,218,39.6,0.0,5.5,0.0,88,low,"lean_protein,low_sodium,low_saturated_fat",non-veg,"lunch,dinner",global,
Baked salmon (120g) | portion_x1.1,256,27.5,0.0,15.4,0.0,82,low,"omega3,anti_inflammatory,lean_protein,low_sodium",non-veg,"lunch,dinner",global,seafood
"Egg omelette (2 eggs, less oil) | portion_x1.1",176,13.2,2.2,12.1,0.0,165,low,"protein,moderate_saturated_fat",non-veg,"breakfast,lunch",global,
Tofu stir-fry (150g) | portion_x1.1,198,19.8,6.6,9.9,2.2,16,low,"lean_protein,low_sodium,vegan","veg,vegan","lunch,dinner",asian,soy
"Paneer bhurji (100g, low oil) | portion_x1.1",242,15.4,6.6,16.5,1.1,220,low,protein,veg,"lunch,dinner",indian,lactose
Chickpea salad (1 cup) | portion_x1.1,231,12.1,38.5,3.3,9.9,198,low,"low_gi,high_fiber,plant_protein,anti_inflammatory","veg,vegan","lunch,dinner,snack",global,
Moong dal (1 cup) | portion_x1.1,231,15.4,39.6,2.2,8.8,154,low,"low_gi,high_fiber,plant_protein","veg,vegan","lunch,dinner",indian,
Rajma (kidney beans) curry (1 cup) | portion_x1.1,264,14.3,44.0,3.3,11.0,330,low,"low_gi,high_fiber,plant_protein,high_potassium","veg,vegan","lunch,dinner",indian,
"Mixed salad (spinach, cucumber, tomato) | portion_x1.1",88,4.4,13.2,2.2,5.5,110,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner,snack",global,
Steamed broccoli (1 cup) | portion_x1.1,61,4.4,12.1,0.7,5.5,55,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner",global,
Stir-fried mixed veg (low oil) | portion_x1.1,132,3.3,19.8,4.4,5.5,187,low,"low_gi,high_fiber","veg,vegan","lunch,dinner",asian,
Apple (1) | portion_x1.1,105,0.6,27.5,0.3,5.0,2,low,"low_gi,high_fiber,low_potassium","veg,vegan","breakfast,snack",global,
Banana (1) | portion_x1.1,116,1.4,29.7,0.4,3.4,1,medium,"moderate_gi,high_potassium","veg,vegan","breakfast,snack",global,
Mixed berries (1 cup) | portion_x1.1,72,1.1,17.6,0.6,7.7,2,low,"low_gi,high_fiber,anti_inflammatory","veg,vegan","breakfast,snack",global,
Low-fat yogurt (200g) | portion_x1.1,154,13.2,13.2,4.4,0.0,99,low,probiotic,veg,"breakfast,snack",global,lactose
Unsweetened soy milk (250ml) | portion_x1.1,99,7.7,4.4,5.5,2.2,99,low,vegan,"veg,vegan","breakfast,snack",global,soy
Almonds (20g) | portion_x1.1,128,4.4,4.4,11.0,2.8,1,low,"healthy_fat,anti_inflammatory","veg,vegan",snack,global,nuts
Roasted chana (30g) | portion_x1.1,132,6.6,19.8,2.2,5.5,132,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,indian,
Hummus with carrot sticks | portion_x1.1,165,5.5,16.5,8.8,4.4,198,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,mediterranean,sesame
Green tea (unsweetened) | portion_x1.1,2,0.0,0.0,0.0,0.0,0,low,anti_inflammatory,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Lemon water (unsweetened) | portion_x1.1,4,0.0,1.1,0.0,0.0,0,low,hydration,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Oats porridge (water) | portion_x1.25,225,7.5,37.5,3.8,6.2,150,low,"low_gi,high_fiber,whole_grain,low_sodium","veg,vegan",breakfast,global,may_contain_gluten
Whole wheat roti (2) | portion_x1.25,250,7.5,50.0,2.5,7.5,250,medium,"whole_grain,high_fiber","veg,vegan","lunch,dinner",indian,gluten
Brown rice (1 cup) | portion_x1.25,269,6.2,56.2,2.5,4.4,12,medium,"whole_grain,moderate_gi,low_sodium","veg,vegan","lunch,dinner","indian,asian",
Quinoa (1 cup) | portion_x1.25,278,10.0,48.8,5.0,6.2,16,low,"gluten_free,low_gi,high_fiber,whole_grain,low_sodium","veg,vegan","lunch,dinner",global,
Millet roti (2) | portion_x1.25,262,7.5,50.0,3.8,6.2,150,low,"gluten_free,low_gi,high_fiber","veg,vegan","lunch,dinner",indian,
Grilled chicken breast (120g) | portion_x1.25,248,45.0,0.0,6.2,0.0,100,low,"lean_protein,low_sodium,low_saturated_fat",non-veg,"lunch,dinner",global,
Baked salmon (120g) | portion_x1.25,291,31.2,0.0,17.5,0.0,94,low,"omega3,anti_inflammatory,lean_protein,low_sodium",non-veg,"lunch,dinner",global,seafood
"Egg omelette (2 eggs, less oil) | portion_x1.25",200,15.0,2.5,13.8,0.0,188,low,"protein,moderate_saturated_fat",non-veg,"breakfast,lunch",global,
Tofu stir-fry (150g) | portion_x1.25,225,22.5,7.5,11.2,2.5,19,low,"lean_protein,low_sodium,vegan","veg,vegan","lunch,dinner",asian,soy
"Paneer bhurji (100g, low oil) | portion_x1.25",275,17.5,7.5,18.8,1.2,250,low,protein,veg,"lunch,dinner",indian,lactose
Chickpea salad (1 cup) | portion_x1.25,262,13.8,43.8,3.8,11.2,225,low,"low_gi,high_fiber,plant_protein,anti_inflammatory","veg,vegan","lunch,dinner,snack",global,
Moong dal (1 cup) | portion_x1.25,262,17.5,45.0,2.5,10.0,175,low,"low_gi,high_fiber,plant_protein","veg,vegan","lunch,dinner",indian,
Rajma (kidney beans) curry (1 cup) | portion_x1.25,300,16.2,50.0,3.8,12.5,375,low,"low_gi,high_fiber,plant_protein,high_potassium","veg,vegan","lunch,dinner",indian,
"Mixed salad (spinach, cucumber, tomato) | portion_x1.25",100,5.0,15.0,2.5,6.2,125,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner,snack",global,
Steamed broccoli (1 cup) | portion_x1.25,69,5.0,13.8,0.8,6.2,62,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner",global,
Stir-fried mixed veg (low oil) | portion_x1.25,150,3.8,22.5,5.0,6.2,212,low,"low_gi,high_fiber","veg,vegan","lunch,dinner",asian,
Apple (1) | portion_x1.25,119,0.6,31.2,0.4,5.6,2,low,"low_gi,high_fiber,low_potassium","veg,vegan","breakfast,snack",global,
Banana (1) | portion_x1.25,131,1.6,33.8,0.5,3.9,1,medium,"moderate_gi,high_potassium","veg,vegan","breakfast,snack",global,
Mixed berries (1 cup) | portion_x1.25,81,1.2,20.0,0.6,8.8,2,low,"low_gi,high_fiber,anti_inflammatory","veg,vegan","breakfast,snack",global,
Low-fat yogurt (200g) | portion_x1.25,175,15.0,15.0,5.0,0.0,112,low,probiotic,veg,"breakfast,snack",global,lactose
Unsweetened soy milk (250ml) | portion_x1.25,112,8.8,5.0,6.2,2.5,112,low,vegan,"veg,vegan","breakfast,snack",global,soy
Almonds (20g) | portion_x1.25,145,5.0,5.0,12.5,3.1,1,low,"healthy_fat,anti_inflammatory","veg,vegan",snack,global,nuts
Roasted chana (30g) | portion_x1.25,150,7.5,22.5,2.5,6.2,150,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,indian,
Hummus with carrot sticks | portion_x1.25,188,6.2,18.8,10.0,5.0,225,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,mediterranean,sesame
Green tea (unsweetened) | portion_x1.25,2,0.0,0.0,0.0,0.0,0,low,anti_inflammatory,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Lemon water (unsweetened) | portion_x1.25,5,0.0,1.2,0.0,0.0,0,low,hydration,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Oats porridge (water) | portion_x1.5,270,9.0,45.0,4.5,7.5,180,low,"low_gi,high_fiber,whole_grain,low_sodium","veg,vegan",breakfast,global,may_contain_gluten
Whole wheat roti (2) | portion_x1.5,300,9.0,60.0,3.0,9.0,300,medium,"whole_grain,high_fiber","veg,vegan","lunch,dinner",indian,gluten
Brown rice (1 cup) | portion_x1.5,322,7.5,67.5,3.0,5.2,15,medium,"whole_grain,moderate_gi,low_sodium","veg,vegan","lunch,dinner","indian,asian",
Quinoa (1 cup) | portion_x1.5,333,12.0,58.5,6.0,7.5,20,low,"gluten_free,low_gi,high_fiber,whole_grain,low_sodium","veg,vegan","lunch,dinner",global,
Millet roti (2) | portion_x1.5,315,9.0,60.0,4.5,7.5,180,low,"gluten_free,low_gi,high_fiber","veg,vegan","lunch,dinner",indian,
Grilled chicken breast (120g) | portion_x1.5,297,54.0,0.0,7.5,0.0,120,low,"lean_protein,low_sodium,low_saturated_fat",non-veg,"lunch,dinner",global,
Baked salmon (120g) | portion_x1.5,350,37.5,0.0,21.0,0.0,112,low,"omega3,anti_inflammatory,lean_protein,low_sodium",non-veg,"lunch,dinner",global,seafood
"Egg omelette (2 eggs, less oil) | portion_x1.5",240,18.0,3.0,16.5,0.0,225,low,"protein,moderate_saturated_fat",non-veg,"breakfast,lunch",global,
Tofu stir-fry (150g) | portion_x1.5,270,27.0,9.0,13.5,3.0,22,low,"lean_protein,low_sodium,vegan","veg,vegan","lunch,dinner",asian,soy
"Paneer bhurji (100g, low oil) | portion_x1.5",330,21.0,9.0,22.5,1.5,300,low,protein,veg,"lunch,dinner",indian,lactose
Chickpea salad (1 cup) | portion_x1.5,315,16.5,52.5,4.5,13.5,270,low,"low_gi,high_fiber,plant_protein,anti_inflammatory","veg,vegan","lunch,dinner,snack",global,
Moong dal (1 cup) | portion_x1.5,315,21.0,54.0,3.0,12.0,210,low,"low_gi,high_fiber,plant_protein","veg,vegan","lunch,dinner",indian,
Rajma (kidney beans) curry (1 cup) | portion_x1.5,360,19.5,60.0,4.5,15.0,450,low,"low_gi,high_fiber,plant_protein,high_potassium","veg,vegan","lunch,dinner",indian,
"Mixed salad (spinach, cucumber, tomato) | portion_x1.5",120,6.0,18.0,3.0,7.5,150,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner,snack",global,
Steamed broccoli (1 cup) | portion_x1.5,82,6.0,16.5,0.9,7.5,75,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner",global,
Stir-fried mixed veg (low oil) | portion_x1.5,180,4.5,27.0,6.0,7.5,255,low,"low_gi,high_fiber","veg,vegan","lunch,dinner",asian,
Apple (1) | portion_x1.5,142,0.8,37.5,0.4,6.8,3,low,"low_gi,high_fiber,low_potassium","veg,vegan","breakfast,snack",global,
Banana (1) | portion_x1.5,158,2.0,40.5,0.6,4.7,2,medium,"moderate_gi,high_potassium","veg,vegan","breakfast,snack",global,
Mixed berries (1 cup) | portion_x1.5,98,1.5,24.0,0.8,10.5,3,low,"low_gi,high_fiber,anti_inflammatory","veg,vegan","breakfast,snack",global,
Low-fat yogurt (200g) | portion_x1.5,210,18.0,18.0,6.0,0.0,135,low,probiotic,veg,"breakfast,snack",global,lactose
Unsweetened soy milk (250ml) | portion_x1.5,135,10.5,6.0,7.5,3.0,135,low,vegan,"veg,vegan","breakfast,snack",global,soy
Almonds (20g) | portion_x1.5,174,6.0,6.0,15.0,3.8,2,low,"healthy_fat,anti_inflammatory","veg,vegan",snack,global,nuts
Roasted chana (30g) | portion_x1.5,180,9.0,27.0,3.0,7.5,180,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,indian,
Hummus with carrot sticks | portion_x1.5,225,7.5,22.5,12.0,6.0,270,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,mediterranean,sesame
Green tea (unsweetened) | portion_x1.5,3,0.0,0.0,0.0,0.0,0,low,anti_inflammatory,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Lemon water (unsweetened) | portion_x1.5,6,0.0,1.5,0.0,0.0,0,low,hydration,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Oats porridge (water) | portion_x1.75,315,10.5,52.5,5.2,8.8,210,low,"low_gi,high_fiber,whole_grain,low_sodium","veg,vegan",breakfast,global,may_contain_gluten
Whole wheat roti (2) | portion_x1.75,350,10.5,70.0,3.5,10.5,350,medium,"whole_grain,high_fiber","veg,vegan","lunch,dinner",indian,gluten
Brown rice (1 cup) | portion_x1.75,376,8.8,78.8,3.5,6.1,18,medium,"whole_grain,moderate_gi,low_sodium","veg,vegan","lunch,dinner","indian,asian",
Quinoa (1 cup) | portion_x1.75,388,14.0,68.2,7.0,8.8,23,low,"gluten_free,low_gi,high_fiber,whole_grain,low_sodium","veg,vegan","lunch,dinner",global,
Millet roti (2) | portion_x1.75,368,10.5,70.0,5.2,8.8,210,low,"gluten_free,low_gi,high_fiber","veg,vegan","lunch,dinner",indian,
Grilled chicken breast (120g) | portion_x1.75,346,63.0,0.0,8.8,0.0,140,low,"lean_protein,low_sodium,low_saturated_fat",non-veg,"lunch,dinner",global,
Baked salmon (120g) | portion_x1.75,408,43.8,0.0,24.5,0.0,131,low,"omega3,anti_inflammatory,lean_protein,low_sodium",non-veg,"lunch,dinner",global,seafood
"Egg omelette (2 eggs, less oil) | portion_x1.75",280,21.0,3.5,19.2,0.0,262,low,"protein,moderate_saturated_fat",non-veg,"breakfast,lunch",global,
Tofu stir-fry (150g) | portion_x1.75,315,31.5,10.5,15.8,3.5,26,low,"lean_protein,low_sodium,vegan","veg,vegan","lunch,dinner",asian,soy
"Paneer bhurji (100g, low oil) | portion_x1.75",385,24.5,10.5,26.2,1.8,350,low,protein,veg,"lunch,dinner",indian,lactose
Chickpea salad (1 cup) | portion_x1.75,368,19.2,61.2,5.2,15.8,315,low,"low_gi,high_fiber,plant_protein,anti_inflammatory","veg,vegan","lunch,dinner,snack",global,
Moong dal (1 cup) | portion_x1.75,368,24.5,63.0,3.5,14.0,245,low,"low_gi,high_fiber,plant_protein","veg,vegan","lunch,dinner",indian,
Rajma (kidney beans) curry (1 cup) | portion_x1.75,420,22.8,70.0,5.2,17.5,525,low,"low_gi,high_fiber,plant_protein,high_potassium","veg,vegan","lunch,dinner",indian,
"Mixed salad (spinach, cucumber, tomato) | portion_x1.75",140,7.0,21.0,3.5,8.8,175,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner,snack",global,
Steamed broccoli (1 cup) | portion_x1.75,96,7.0,19.2,1.1,8.8,88,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner",global,
Stir-fried mixed veg (low oil) | portion_x1.75,210,5.2,31.5,7.0,8.8,298,low,"low_gi,high_fiber","veg,vegan","lunch,dinner",asian,
Apple (1) | portion_x1.75,166,0.9,43.8,0.5,7.9,4,low,"low_gi,high_fiber,low_potassium","veg,vegan","breakfast,snack",global,
Banana (1) | portion_x1.75,184,2.3,47.2,0.7,5.4,2,medium,"moderate_gi,high_potassium","veg,vegan","breakfast,snack",global,
Mixed berries (1 cup) | portion_x1.75,114,1.8,28.0,0.9,12.2,4,low,"low_gi,high_fiber,anti_inflammatory","veg,vegan","breakfast,snack",global,
Low-fat yogurt (200g) | portion_x1.75,245,21.0,21.0,7.0,0.0,158,low,probiotic,veg,"breakfast,snack",global,lactose
Unsweetened soy milk (250ml) | portion_x1.75,158,12.2,7.0,8.8,3.5,158,low,vegan,"veg,vegan","breakfast,snack",global,soy
Almonds (20g) | portion_x1.75,203,7.0,7.0,17.5,4.4,2,low,"healthy_fat,anti_inflammatory","veg,vegan",snack,global,nuts
Roasted chana (30g) | portion_x1.75,210,10.5,31.5,3.5,8.8,210,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,indian,
Hummus with carrot sticks | portion_x1.75,262,8.8,26.2,14.0,7.0,315,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,mediterranean,sesame
Green tea (unsweetened) | portion_x1.75,4,0.0,0.0,0.0,0.0,0,low,anti_inflammatory,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Lemon water (unsweetened) | portion_x1.75,7,0.0,1.8,0.0,0.0,0,low,hydration,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Oats porridge (water) | portion_x2.0,360,12.0,60.0,6.0,10.0,240,low,"low_gi,high_fiber,whole_grain,low_sodium","veg,vegan",breakfast,global,may_contain_gluten
Whole wheat roti (2) | portion_x2.0,400,12.0,80.0,4.0,12.0,400,medium,"whole_grain,high_fiber","veg,vegan","lunch,dinner",indian,gluten
Brown rice (1 cup) | portion_x2.0,430,10.0,90.0,4.0,7.0,20,medium,"whole_grain,moderate_gi,low_sodium","veg,vegan","lunch,dinner","indian,asian",
Quinoa (1 cup) | portion_x2.0,444,16.0,78.0,8.0,10.0,26,low,"gluten_free,low_gi,high_fiber,whole_grain,low_sodium","veg,vegan","lunch,dinner",global,
Millet roti (2) | portion_x2.0,420,12.0,80.0,6.0,10.0,240,low,"gluten_free,low_gi,high_fiber","veg,vegan","lunch,dinner",indian,
Grilled chicken breast (120g) | portion_x2.0,396,72.0,0.0,10.0,0.0,160,low,"lean_protein,low_sodium,low_saturated_fat",non-veg,"lunch,dinner",global,
Baked salmon (120g) | portion_x2.0,466,50.0,0.0,28.0,0.0,150,low,"omega3,anti_inflammatory,lean_protein,low_sodium",non-veg,"lunch,dinner",global,seafood
"Egg omelette (2 eggs, less oil) | portion_x2.0",320,24.0,4.0,22.0,0.0,300,low,"protein,moderate_saturated_fat",non-veg,"breakfast,lunch",global,
Tofu stir-fry (150g) | portion_x2.0,360,36.0,12.0,18.0,4.0,30,low,"lean_protein,low_sodium,vegan","veg,vegan","lunch,dinner",asian,soy
"Paneer bhurji (100g, low oil) | portion_x2.0",440,28.0,12.0,30.0,2.0,400,low,protein,veg,"lunch,dinner",indian,lactose
Chickpea salad (1 cup) | portion_x2.0,420,22.0,70.0,6.0,18.0,360,low,"low_gi,high_fiber,plant_protein,anti_inflammatory","veg,vegan","lunch,dinner,snack",global,
Moong dal (1 cup) | portion_x2.0,420,28.0,72.0,4.0,16.0,280,low,"low_gi,high_fiber,plant_protein","veg,vegan","lunch,dinner",indian,
Rajma (kidney beans) curry (1 cup) | portion_x2.0,480,26.0,80.0,6.0,20.0,600,low,"low_gi,high_fiber,plant_protein,high_potassium","veg,vegan","lunch,dinner",indian,
"Mixed salad (spinach, cucumber, tomato) | portion_x2.0",160,8.0,24.0,4.0,10.0,200,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner,snack",global,
Steamed broccoli (1 cup) | portion_x2.0,110,8.0,22.0,1.2,10.0,100,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner",global,
Stir-fried mixed veg (low oil) | portion_x2.0,240,6.0,36.0,8.0,10.0,340,low,"low_gi,high_fiber","veg,vegan","lunch,dinner",asian,
Apple (1) | portion_x2.0,190,1.0,50.0,0.6,9.0,4,low,"low_gi,high_fiber,low_potassium","veg,vegan","breakfast,snack",global,
Banana (1) | portion_x2.0,210,2.6,54.0,0.8,6.2,2,medium,"moderate_gi,high_potassium","veg,vegan","breakfast,snack",global,
Mixed berries (1 cup) | portion_x2.0,130,2.0,32.0,1.0,14.0,4,low,"low_gi,high_fiber,anti_inflammatory","veg,vegan","breakfast,snack",global,
Low-fat yogurt (200g) | portion_x2.0,280,24.0,24.0,8.0,0.0,180,low,probiotic,veg,"breakfast,snack",global,lactose
Unsweetened soy milk (250ml) | portion_x2.0,180,14.0,8.0,10.0,4.0,180,low,vegan,"veg,vegan","breakfast,snack",global,soy
Almonds (20g) | portion_x2.0,232,8.0,8.0,20.0,5.0,2,low,"healthy_fat,anti_inflammatory","veg,vegan",snack,global,nuts
Roasted chana (30g) | portion_x2.0,240,12.0,36.0,4.0,10.0,240,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,indian,
Hummus with carrot sticks | portion_x2.0,300,10.0,30.0,16.0,8.0,360,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,mediterranean,sesame
Green tea (unsweetened) | portion_x2.0,4,0.0,0.0,0.0,0.0,0,low,anti_inflammatory,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Lemon water (unsweetened) | portion_x2.0,8,0.0,2.0,0.0,0.0,0,low,hydration,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Oats porridge (water) | portion_x0.6,108,3.6,18.0,1.8,3.0,72,low,"low_gi,high_fiber,whole_grain,low_sodium","veg,vegan",breakfast,global,may_contain_gluten
Whole wheat roti (2) | portion_x0.6,120,3.6,24.0,1.2,3.6,120,medium,"whole_grain,high_fiber","veg,vegan","lunch,dinner",indian,gluten
Brown rice (1 cup) | portion_x0.6,129,3.0,27.0,1.2,2.1,6,medium,"whole_grain,moderate_gi,low_sodium","veg,vegan","lunch,dinner","indian,asian",
Quinoa (1 cup) | portion_x0.6,133,4.8,23.4,2.4,3.0,8,low,"gluten_free,low_gi,high_fiber,whole_grain,low_sodium","veg,vegan","lunch,dinner",global,
Millet roti (2) | portion_x0.6,126,3.6,24.0,1.8,3.0,72,low,"gluten_free,low_gi,high_fiber","veg,vegan","lunch,dinner",indian,
Grilled chicken breast (120g) | portion_x0.6,119,21.6,0.0,3.0,0.0,48,low,"lean_protein,low_sodium,low_saturated_fat",non-veg,"lunch,dinner",global,
Baked salmon (120g) | portion_x0.6,140,15.0,0.0,8.4,0.0,45,low,"omega3,anti_inflammatory,lean_protein,low_sodium",non-veg,"lunch,dinner",global,seafood
"Egg omelette (2 eggs, less oil) | portion_x0.6",96,7.2,1.2,6.6,0.0,90,low,"protein,moderate_saturated_fat",non-veg,"breakfast,lunch",global,
Tofu stir-fry (150g) | portion_x0.6,108,10.8,3.6,5.4,1.2,9,low,"lean_protein,low_sodium,vegan","veg,vegan","lunch,dinner",asian,soy
"Paneer bhurji (100g, low oil) | portion_x0.6",132,8.4,3.6,9.0,0.6,120,low,protein,veg,"lunch,dinner",indian,lactose
Chickpea salad (1 cup) | portion_x0.6,126,6.6,21.0,1.8,5.4,108,low,"low_gi,high_fiber,plant_protein,anti_inflammatory","veg,vegan","lunch,dinner,snack",global,
Moong dal (1 cup) | portion_x0.6,126,8.4,21.6,1.2,4.8,84,low,"low_gi,high_fiber,plant_protein","veg,vegan","lunch,dinner",indian,
Rajma (kidney beans) curry (1 cup) | portion_x0.6,144,7.8,24.0,1.8,6.0,180,low,"low_gi,high_fiber,plant_protein,high_potassium","veg,vegan","lunch,dinner",indian,
"Mixed salad (spinach, cucumber, tomato) | portion_x0.6",48,2.4,7.2,1.2,3.0,60,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner,snack",global,
Steamed broccoli (1 cup) | portion_x0.6,33,2.4,6.6,0.4,3.0,30,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner",global,
Stir-fried mixed veg (low oil) | portion_x0.6,72,1.8,10.8,2.4,3.0,102,low,"low_gi,high_fiber","veg,vegan","lunch,dinner",asian,
Apple (1) | portion_x0.6,57,0.3,15.0,0.2,2.7,1,low,"low_gi,high_fiber,low_potassium","veg,vegan","breakfast,snack",global,
Banana (1) | portion_x0.6,63,0.8,16.2,0.2,1.9,1,medium,"moderate_gi,high_potassium","veg,vegan","breakfast,snack",global,
Mixed berries (1 cup) | portion_x0.6,39,0.6,9.6,0.3,4.2,1,low,"low_gi,high_fiber,anti_inflammatory","veg,vegan","breakfast,snack",global,
Low-fat yogurt (200g) | portion_x0.6,84,7.2,7.2,2.4,0.0,54,low,probiotic,veg,"breakfast,snack",global,lactose
Unsweetened soy milk (250ml) | portion_x0.6,54,4.2,2.4,3.0,1.2,54,low,vegan,"veg,vegan","breakfast,snack",global,soy
Almonds (20g) | portion_x0.6,70,2.4,2.4,6.0,1.5,1,low,"healthy_fat,anti_inflammatory","veg,vegan",snack,global,nuts
Roasted chana (30g) | portion_x0.6,72,3.6,10.8,1.2,3.0,72,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,indian,
Hummus with carrot sticks | portion_x0.6,90,3.0,9.0,4.8,2.4,108,low,"low_gi,high_fiber,plant_protein","veg,vegan",snack,mediterranean,sesame
Green tea (unsweetened) | portion_x0.6,1,0.0,0.0,0.0,0.0,0,low,anti_inflammatory,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Lemon water (unsweetened) | portion_x0.6,2,0.0,0.6,0.0,0.0,0,low,hydration,"veg,vegan,non-veg","breakfast,snack,dinner",global,
Oats porridge (water) | portion_x0.75,135,4.5,22.5,2.2,3.8,90,low,"low_gi,high_fiber,whole_grain,low_sodium","veg,vegan",breakfast,global,may_contain_gluten
Whole wheat roti (2) | portion_x0.75,150,4.5,30.0,1.5,4.5,150,medium,"whole_grain,high_fiber","veg,vegan","lunch,dinner",indian,gluten
Brown rice (1 cup) | portion_x0.75,161,3.8,33.8,1.5,2.6,8,medium,"whole_grain,moderate_gi,low_sodium","veg,vegan","lunch,dinner","indian,asian",
Quinoa (1 cup) | portion_x0.75,166,6.0,29.2,3.0,3.8,10,low,"gluten_free,low_gi,high_fiber,whole_grain,low_sodium","veg,vegan","lunch,dinner",global,
Millet roti (2) | portion_x0.75,158,4.5,30.0,2.2,3.8,90,low,"gluten_free,low_gi,high_fiber","veg,vegan","lunch,dinner",indian,
Grilled chicken breast (120g) | portion_x0.75,148,27.0,0.0,3.8,0.0,60,low,"lean_protein,low_sodium,low_saturated_fat",non-veg,"lunch,dinner",global,
Baked salmon (120g) | portion_x0.75,175,18.8,0.0,10.5,0.0,56,low,"omega3,anti_inflammatory,lean_protein,low_sodium",non-veg,"lunch,dinner",global,seafood
"Egg omelette (2 eggs, less oil) | portion_x0.75",120,9.0,1.5,8.2,0.0,112,low,"protein,moderate_saturated_fat",non-veg,"breakfast,lunch",global,
Tofu stir-fry (150g) | portion_x0.75,135,13.5,4.5,6.8,1.5,11,low,"lean_protein,low_sodium,vegan","veg,vegan","lunch,dinner",asian,soy
"Paneer bhurji (100g, low oil) | portion_x0.75",165,10.5,4.5,11.2,0.8,150,low,protein,veg,"lunch,dinner",indian,lactose
Chickpea salad (1 cup) | portion_x0.75,158,8.2,26.2,2.2,6.8,135,low,"low_gi,high_fiber,plant_protein,anti_inflammatory","veg,vegan","lunch,dinner,snack",global,
Moong dal (1 cup) | portion_x0.75,158,10.5,27.0,1.5,6.0,105,low,"low_gi,high_fiber,plant_protein","veg,vegan","lunch,dinner",indian,
Rajma (kidney beans) curry (1 cup) | portion_x0.75,180,9.8,30.0,2.2,7.5,225,low,"low_gi,high_fiber,plant_protein,high_potassium","veg,vegan","lunch,dinner",indian,
"Mixed salad (spinach, cucumber, tomato) | portion_x0.75",60,3.0,9.0,1.5,3.8,75,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner,snack",global,
Steamed broccoli (1 cup) | portion_x0.75,41,3.0,8.2,0.4,3.8,38,low,"low_gi,high_fiber,anti_inflammatory,low_sodium","veg,vegan","lunch,dinner",global,
Stir-fried mixed veg (low oil) | portion_x0.75,90,2.2,13.5,3.0,3.8,128,low,"low_gi,high_fiber","veg,vegan","lunch,dinner",asian,
Apple (1) | portion_x0.75,71,0.4,18.8,0.2,3.4,2,low,"low_gi,high_fiber,low_potassium","veg,vegan","breakfast,snack",global,
Banana (1) | portion_x0.75,79,1.0,20.2,0.3,2.3,1,medium,"moderate_gi,high_potassium","veg,vegan","breakfast,snack",global,
Mixed berries (1 cup) | portion_x0.75,49,0.8,12.0,0.4,5.2,2,low,"low_gi,high_fiber,anti_inflammatory","veg,vegan","breakfast,snack",global,
